section,subject,topic,question_count
Express QB 23-24,OBS,"Basics Of Reproduction, Placenta & Fetal Membranes",13
Express QB 23-24,OBS,Cardiac Disease in Pregnancy,6
Express QB 23-24,OBS,Cervical Incompetence,3
Express QB 23-24,OBS,Diabetes Mellitus in Pregnancy,9
Express QB 23-24,OBS,Ectopic Pregnancy,7
Express QB 23-24,OBS,Hypertensive Disorders in Pregnancy,12
Express QB 23-24,OBS,Jaundice in Pregnancy,5
Express QB 23-24,OBS,Malpresentation and Malposition,11
Express QB 23-24,OBS,Miscarriage,11
Express QB 23-24,OBS,Molar Pregnancy,5
Express QB 23-24,OBS,Multiple Gestation,10
Express QB 23-24,OBS,Normal Labour,10
Express QB 23-24,OBS,Partogram,5
Express QB 23-24,OBS,Physiological Changes in Pregnancy,10
Express QB 23-24,OBS,Postpartum Hemorrhage,6
Express QB 23-24,OBS,"Pregnancy, Antenatal Care",5
Express QB 23-24,OBS,"Preterm Labour , Prom ,Postdatism",13
Express QB 23-24,OBS,Rh Isoimmunization,6
Express QB 23-24,OBS,Shoulder Dystocia,5
Express QB 23-24,OBS,Stages of Labour,9
Express QB 23-24,Psychiatry,Delusional Disorders,7
Express QB 23-24,Psychiatry,Dementia,5
Express QB 23-24,Psychiatry,Eating Disorders,5
Express QB 23-24,Psychiatry,Introduction To Psychiatry,4
Express QB 23-24,Psychiatry,Mental State Examination In Psychiatry,5
Express QB 23-24,Psychiatry,Mood Disorders,9
Express QB 23-24,Psychiatry,Neurosis- Ocd,8
Express QB 23-24,Psychiatry,"Neurosis- Panic Attack, Phobia, Adjustment Disorder ,Ptsd & Gad",9
Express QB 23-24,Psychiatry,Personality Disorders,6
Express QB 23-24,Psychiatry,Psychology- Contribution Of Psychologist,3
Express QB 23-24,Psychiatry,Psychology- Defence Mechanism,4
Express QB 23-24,Psychiatry,Psychopharmacology- Anti Psychotics,7
Express QB 23-24,Psychiatry,Psychopharmacology- Mood Stabilizers,4
Express QB 23-24,Psychiatry,Psychopharmacology-= Anti Depressants,7
Express QB 23-24,Psychiatry,Schizophrenia,9
Express QB 23-24,Psychiatry,Sex Disorders,7
Express QB 23-24,Psychiatry,Sleep Disorders,5
Express QB 23-24,Psychiatry,Substance Use Disorders,11
Express QB 23-24,Pediatrics,Cardiology,23
Express QB 23-24,Pediatrics,"Growth, Development ,Malnutrition",18
Express QB 23-24,Pediatrics,Latest Update on Childhood Asthama,32
Express QB 23-24,Pediatrics,Neonatology,25
Express QB 23-24,Pediatrics,Other Pediatrics Disorder & Childhood Infections,18
Express QB 23-24,Pediatrics,Pediatrics Gi,9
Express QB 23-24,Pediatrics,Pediatrics Nephrology & Respiratory Total,21
Express QB 23-24,Pediatrics,Pediatrics Neurology,23
Express QB 23-24,Pediatrics,Update -Milestones,1
Express QB 23-24,Microbiology,General Microbiology,43
Express QB 23-24,Microbiology,Bacteria- Gpc & Gnc,28
Express QB 23-24,Microbiology,Bacteria - Gnb,31
Express QB 23-24,Microbiology,Bacteria - Gpb,27
Express QB 23-24,Microbiology,General Virology,12
Express QB 23-24,Microbiology,Virology- Dna Viruses,10
Express QB 23-24,Microbiology,Virology- Rna Viruses,19
Express QB 23-24,Microbiology,Parasitology – Helminths,18
Express QB 23-24,Microbiology,Parasitology – Protozoa,13
Express QB 23-24,Microbiology,Mycology,13
Express QB 23-24,Microbiology,Immunology,27
Express QB 23-24,Medicine,Cardiology Part-1,12
Express QB 23-24,Medicine,Cardiology Part-2,16
Express QB 23-24,Medicine,Cardiology Part-3,14
Express QB 23-24,Medicine,GIT Part-1,13
Express QB 23-24,Medicine,GIT Part -2,4
Express QB 23-24,Medicine,GIT Part -3,12
Express QB 23-24,Medicine,GIT Part -4,3
Express QB 23-24,Medicine,Endocrinology Part-1,10
Express QB 23-24,Medicine,Endocrinology Part-2,15
Express QB 23-24,Medicine,Endocrinology Part-3,10
Express QB 23-24,Medicine,Endocrinology Part-4,9
Express QB 23-24,Medicine,Nephrology Part-1,12
Express QB 23-24,Medicine,Nephrology Part-2,13
Express QB 23-24,Medicine,Nephrology Part-3,6
Express QB 23-24,Medicine,Pulmonology Part-1,14
Express QB 23-24,Medicine,Pulmonology Part-2,9
Express QB 23-24,Medicine,Pulmonology Part-3,10
Express QB 23-24,Medicine,Rheumatology Part-1,13
Express QB 23-24,Medicine,Rheumatology Part-2,8
Express QB 23-24,Medicine,Rheumatology Part-3,8
Express QB 23-24,Medicine,Neurology Part-1,10
Express QB 23-24,Medicine,Neurology Part-2,16
Express QB 23-24,Medicine,Neurology Part-3,15
Express QB 23-24,Medicine,Neurology Part-4,13
Express QB 23-24,Gynaecology,Anatomy,8
Express QB 23-24,Gynaecology,AUB,14
Express QB 23-24,Gynaecology,CIN & CA cervix,15
Express QB 23-24,Gynaecology,Contraception,19
Express QB 23-24,Gynaecology,Embryology & uterine malformation,15
Express QB 23-24,Gynaecology,Endometrial hyperplasia & Endometrial cancer,10
Express QB 23-24,Gynaecology,Endometriosis,16
Express QB 23-24,Gynaecology,Fibroid,19
Express QB 23-24,Gynaecology,Gestational Trophoblastic (newly added),6
Express QB 23-24,Gynaecology,Infertility,20
Express QB 23-24,Gynaecology,Menopause & HRT,8
Express QB 23-24,Gynaecology,Normal & Abnormal puberty (newly added),20
Express QB 23-24,Gynaecology,Ovarian cancer,14
Express QB 23-24,Gynaecology,PCOS & Hirsutism,11
Express QB 23-24,Gynaecology,Primary Amenorrhea,20
Express QB 23-24,Gynaecology,Reproductive Physiology,6
Express QB 23-24,Gynaecology,Urogynaecology,17
Express QB 23-24,Gynaecology,Vaginitis & Vulval ulcers,18
Express QB 23-24,Gynaecology,Vulval Cancer (newly added),5
Express QB 23-24,Anatomy,"Head, Neck & Face",37
Express QB 23-24,Anatomy,Neuroanatomy,27
Express QB 23-24,Anatomy,Embrylogy,21
Express QB 23-24,Anatomy,Limbs,11
Express QB 23-24,Anatomy,Viscera,44
Express QB 23-24,Anatomy,Neuroanatomy-Cadaveric Images Discussion,33
Express QB 23-24,Anatomy,Upper Limb-Cadaveric Images Discussion,31
Express QB 23-24,Anatomy,Lower Limb -Cadaveric Images Discussion,28
Express QB 23-24,Surgery,Breast,43
Express QB 23-24,Surgery,Surgery - Trauma,62
Express QB 23-24,Surgery,Esophagus & Stomach,58
Express QB 23-24,Surgery,Gall Bladder,19
Express QB 23-24,Surgery,Pancreas and Liver,25
Express QB 23-24,Surgery,Small Intestine & Appendix,24
Express QB 23-24,Surgery,Colon & Anal Canal,25
Express QB 23-24,Surgery,Kidney & Urinary bladder,25
Express QB 23-24,Surgery,Prostate,13
Express QB 23-24,Surgery,"Urethra, Penis and Testis",25
Express QB 23-24,Surgery,Arterial Disorders,20
Express QB 23-24,Surgery,Venous Disorders,24
Express QB 23-24,Surgery,Hernia,16
Express QB 23-24,Surgery,General Surgery (Part -1),20
Express QB 23-24,Surgery,General Surgery (Part -2),14
Express QB 23-24,Surgery,General Surgery (Part -3),29
Express QB 23-24,Surgery,Burns and Plastic Surgery,17
Express QB 23-24,Surgery,Endocrine Surgery,36
Express QB 23-24,Surgery,Oral Cavity,16
Express QB 23-24,Surgery,Transplant & Metabolic Surgery,14
Express QB 23-24,Surgery,Skin and Subcutaneous Tissue,18
Express QB 23-24,Orthopaedics,Deformities,8
Express QB 23-24,Orthopaedics,Implants in Orthopaedics,7
Express QB 23-24,Orthopaedics,Infections in Orthopaedics,17
Express QB 23-24,Orthopaedics,Joint disorders,14
Express QB 23-24,Orthopaedics,Lower limb,24
Express QB 23-24,Orthopaedics,Metabolic Disorders,18
Express QB 23-24,Orthopaedics,Pediatric Disorders,8
Express QB 23-24,Orthopaedics,Peripheral Nerve Injuries,14
Express QB 23-24,Orthopaedics,Soft tissue disorders,7
Express QB 23-24,Orthopaedics,Spine,11
Express QB 23-24,Orthopaedics,Splint traction,10
Express QB 23-24,Orthopaedics,Trauma Basics & Upper limb,21
Express QB 23-24,Orthopaedics,Tumors,13
Express QB 23-24,Biochemistry,Amino Acids & Proteins,15
Express QB 23-24,Biochemistry,Carbohydrate Chemistry,10
Express QB 23-24,Biochemistry,Carbohydrate Metabolism,16
Express QB 23-24,Biochemistry,Concepts,13
Express QB 23-24,Biochemistry,Energetics,11
Express QB 23-24,Biochemistry,Enzymes,9
Express QB 23-24,Biochemistry,Lipids,10
Express QB 23-24,Biochemistry,Molecular Biology,0
Express QB 23-24,Biochemistry,Rate Limiting Enzymes,14
Express QB 23-24,Biochemistry,Diseases,12
Express QB 23-24,Biochemistry,Miscellaneous,14
Express QB 23-24,Pathology,Cell Injury,19
Express QB 23-24,Pathology,Inflammation,16
Express QB 23-24,Pathology,Repair & Regeneration,4
Express QB 23-24,Pathology,Hemodynamics & Bleeding,8
Express QB 23-24,Pathology,Genetics,7
Express QB 23-24,Pathology,Immune System,18
Express QB 23-24,Pathology,Neoplasia,7
Express QB 23-24,Pathology,Acute Leukemia,10
Express QB 23-24,Pathology,Cmpn & Lymphoma,22
Express QB 23-24,Pathology,Rbcs & Anemia,20
Express QB 23-24,Pathology,Vessels,14
Express QB 23-24,Pathology,Heart,8
Express QB 23-24,Pathology,Lungs,16
Express QB 23-24,Pathology,GIT,15
Express QB 23-24,Pathology,Liver,12
Express QB 23-24,Pathology,Renal System,14
Express QB 23-24,Pathology,Cns Tumors,7
Express QB 23-24,Pathology,Ibd,6
Express QB 23-24,PSM,Health indicators,8
Express QB 23-24,PSM,Health programmes,17
Express QB 23-24,PSM,Infections,6
Express QB 23-24,PSM,Infectious disease epidemiology,12
Express QB 23-24,PSM,Miscellaneous topics,16
Express QB 23-24,PSM,Screening & stats,16
Express QB 23-24,PSM,Vaccines & prevention,14
Express QB 23-24,Ophthalmology,"Anatomy & Development, Visual Acuity",10
Express QB 23-24,Ophthalmology,Lens (Part-1),17
Express QB 23-24,Ophthalmology,Lens (Part-2),6
Express QB 23-24,Ophthalmology,Eyelids,8
Express QB 23-24,Ophthalmology,Glaucoma (Part-1),15
Express QB 23-24,Ophthalmology,Glaucoma (Part-2),16
Express QB 23-24,Ophthalmology,Orbit & Lacrimal Apparatus,6
Express QB 23-24,Ophthalmology,Uveal Tract,12
Express QB 23-24,Ophthalmology,Retina (Part-1),9
Express QB 23-24,Ophthalmology,Retina (Part-2),10
Express QB 23-24,Ophthalmology,Retina (Part-3),4
Express QB 23-24,Ophthalmology,Conjunctiva,12
Express QB 23-24,Ophthalmology,Sclera,5
Express QB 23-24,Ophthalmology,Trauma,4
Express QB 23-24,Ophthalmology,Astigmatism,4
Express QB 23-24,Ophthalmology,Cornea,18
Express QB 23-24,Ophthalmology,Neuro Ophthal,12
Express QB 23-24,Ophthalmology,Squint,17
Express QB 23-24,Ophthalmology,Important Tests,10
Express QB 23-24,Forensic Medicine,"Identification, Trace Evidence",19
Express QB 23-24,Forensic Medicine,Injuries & Medicolegal Aspects,35
Express QB 23-24,Forensic Medicine,"Legal System & Procedures, Negligence, Sexual Offences",29
Express QB 23-24,Forensic Medicine,"Thanatology, Fetal Death, Asphyxial Death",33
Express QB 23-24,Forensic Medicine,"Toxicology, Miscellaneous",28
Express QB 23-24,Radiology,Abdominal Radiology,9
Express QB 23-24,Radiology,Basics of Investigations,4
Express QB 23-24,Radiology,Basics of Radiography,8
Express QB 23-24,Radiology,Contrast Agents in Radiology,6
Express QB 23-24,Radiology,CT Scan,7
Express QB 23-24,Radiology,CT VS MRI & MRI SEQUENCES,4
Express QB 23-24,Radiology,Genitourinary Radiology,9
Express QB 23-24,Radiology,Head & Neck Radiology,4
Express QB 23-24,Radiology,Mammography,7
Express QB 23-24,Radiology,MRI,8
Express QB 23-24,Radiology,Musculoskeletal Radiology,8
Express QB 23-24,Radiology,Neuroradiology,15
Express QB 23-24,Radiology,Nuclear Scan & PET Scan,9
Express QB 23-24,Radiology,Radiation Hazards & Protection,10
Express QB 23-24,Radiology,Radio Therapy,9
Express QB 23-24,Radiology,Ultrasonography,11
Express QB 23-24,Radiology,Women’s Imaging,7
Express QB 23-24,Anesthesia,Anesthesia Delivery Systems,16
Express QB 23-24,Anesthesia,Critical Care & Cpcr,23
Express QB 23-24,Anesthesia,Equipments,19
Express QB 23-24,Anesthesia,Ga- Complications,15
Express QB 23-24,Anesthesia,Ga- Inhalational Agents,47
Express QB 23-24,Anesthesia,Ga- Muscle Relaxants,28
Express QB 23-24,Anesthesia,Introduction to Ga & IV Agents,44
Express QB 23-24,Anesthesia,Preoperative Assessment & Monitoring,19
Express QB 23-24,Anesthesia,Regional Anesthesia - Peripheral & Central Nerve Blocks,43
Express QB 23-24,Anesthesia,Speciality Management,38
Express QB 23-24,Physiology,General Physiology,6
Express QB 23-24,Physiology,CVS (PART -2),8
Express QB 23-24,Physiology,Respiration (Part-1),12
Express QB 23-24,Physiology,Endocrine System,16
Express QB 23-24,Physiology,Kidney (Part-1),14
Express QB 23-24,Physiology,Kidney (Part-2),8
Express QB 23-24,Physiology,Kidney (Part-3),9
Express QB 23-24,Physiology,CNS (PART-1),8
Express QB 23-24,Physiology,CNS (PART-2),7
Express QB 23-24,Physiology,CNS (PART-3),11
Express QB 23-24,Physiology,CNS (PART-4),8
Express QB 23-24,Physiology,Respiration (Part-2),10
Express QB 23-24,Physiology,Respiration (Part-3),8
Express QB 23-24,Physiology,Blood,10
Express QB 23-24,Physiology,CVS (PART-1),16
Express QB 23-24,Physiology,Physiology - GIT,14
