section,subject,chapter,mcq_count
Main,Psychiatry,Psychopharmacology,34
Main,Psychiatry,Assesment In Psychiatry & Mental Status Examination,55
Main,Psychiatry,Psychotherapy & Treatment Modalities,11
Main,Psychiatry,Schizophrenia & Other Psychotic Disorders,38
Main,Psychiatry,Neurocognitive Disorders,37
Main,Psychiatry,Mood Disorders,29
Main,Psychiatry,Substance Related Disorders (Part 1),25
Main,Psychiatry,Substance Related Disorders (Part 2),24
Main,Psychiatry,Anxiety Disorders,31
Main,Psychiatry,Obsessive & Compulsive Related Disorders,15
Main,Psychiatry,Trauma & Stress Related Disorders,11
Main,Psychiatry,Personality Disorders,15
Main,Psychiatry,Somatoform Disorders,14
Main,Psychiatry,Dissociative Disorders,9
Main,Psychiatry,Sleep Disorders,9
Main,Psychiatry,Eating Disorders,8
Main,Psychiatry,Impulse Control Disorders,8
Main,Psychiatry,Psychiatric Emergencies,16
Main,Psychiatry,Forensic Psychiatry,15
Main,Psychiatry,Child Psychiatry,36
Main,Psychiatry,Psychoanalysis,18
Main,Psychiatry,Sexual Disorders,6
Main,Psychiatry,Miscellaneous,32
QRP,Psychiatry,"Scientists, Psychology, Psychopathology",23
QRP,Psychiatry,Mood & Psychotic Disorders,27
QRP,Psychiatry,Substance use Disorders,17
QRP,Psychiatry,"Child, Organic & Emergency Psychiatry",19
QRP,Psychiatry,"Forensic Psychiatry, Consultation liason",17
QRP,Psychiatry,Other Psychiatry Disorders,22
QRP,Psychiatry,Psychopharmacology & Other Modalities,25
PYQ,Psychiatry,NEET PG 2025,7
PYQ,Psychiatry,NEET PG 2024,8
PYQ,Psychiatry,NEET PG 2023,4
PYQ,Psychiatry,NEET PG 2022,2
PYQ,Psychiatry,NEET PG 2021,5
PYQ,Psychiatry,NEET PG 2020,8
PYQ,Psychiatry,INI CET May 2026,5
PYQ,Psychiatry,INI CET Nov 2025,7
PYQ,Psychiatry,INI CET MAY 2025,8
PYQ,Psychiatry,INI CET Nov 2024,5
PYQ,Psychiatry,INI CET May 2024,6
PYQ,Psychiatry,INI CET Nov 2023,9
PYQ,Psychiatry,INI CET May 2023,5
PYQ,Psychiatry,INI CET Nov 2022,8
PYQ,Psychiatry,INI CET May 2022,5
PYQ,Psychiatry,INI CET Nov 2021,4
PYQ,Psychiatry,INI CET May 2021,3
PYQ,Psychiatry,INI CET Nov 2020,7
PYQ,Psychiatry,INI CET May 2020,6
