subject,topic,question_count
Microbiology,Viral Encephalitis,19
Microbiology,Viral Meningitis,10
Microbiology,Bacteria causing UTI,18
Microbiology,Genital Ulcerative Diseases,20
Microbiology,Urethritis,14
Microbiology,Vaginitis,7
Microbiology,Rickettsia & Related Diseases,24
Microbiology,Typhoid Fever,9
Microbiology,Viral Hemorrhagic Fever,6
Microbiology,Anthrax,4
Microbiology,Deep Fungal Skin Infections,22
Microbiology,DNA Viruses Skin Infections,22
Microbiology,Gas Gangrene,7
Microbiology,Leprosy,6
Microbiology,Nocardiosis,4
Microbiology,Parasitic Skin Infections,21
Microbiology,RNA Viruses Skin Infections,22
Microbiology,Staphylococcal Skin Infections,22
Microbiology,Streptococcal Skin Infections,23
Microbiology,Superficial Fungal Skin Infections,22
Microbiology,Hepatic Fascioliasis,6
Microbiology,HEPATITIS,22
Microbiology,Antigen - Antibody Reactions,22
Microbiology,Antigen & Antibody,22
Microbiology,Autoimmunity,5
Microbiology,Hypersensitivity,5
Microbiology,Immunity,18
Microbiology,Immunodeficiency Disorders,21
Microbiology,Transplant Immunology,5
Microbiology,Antimicrobial Susceptibility Testing & Genetics,22
Microbiology,Culture & Identification,23
Microbiology,General Bacteriology (GB),22
Microbiology,General Mycology,22
Microbiology,General Parasitology Part-1,16
Microbiology,General Virology Part-1,22
Microbiology,General Virology Part-2,12
Microbiology,Introduction,12
Microbiology,Microscopy & Staining,23
Microbiology,Morphology & Growth of Bacteria,22
Microbiology,Scientists,8
Microbiology,Sterilization & Disinfection (Chemical method),20
Microbiology,Sterilization & Disinfection (Physical method),16
Ophthalmology,Binocular Single Vision,12
Ophthalmology,Evaluation Of Comitant Squint,11
Ophthalmology,Incomitant,7
Ophthalmology,Isolated Nerve Palsy & Gaze Palsy,12
Ophthalmology,Latent Squint,8
Ophthalmology,Nystagmus,10
Ophthalmology,Orientation of Extra Ocular Muscles,8
Ophthalmology,Park Test,7
Ophthalmology,Physiology of Squints,10
Ophthalmology,Squint - Anatomy,11
Ophthalmology,ARMD,6
Ophthalmology,CMV Retinitis,4
Ophthalmology,CRAO & CRVO,9
Ophthalmology,CSR & CME,6
Ophthalmology,Diabetic Retinopathy,7
Ophthalmology,FFFA,10
Ophthalmology,Hypertensive Retinopathy,4
Ophthalmology,Macular Function Tests,4
Ophthalmology,Macular Pathologies,8
Ophthalmology,Retina - Introduction,14
Ophthalmology,Retinal Detachment,5
Ophthalmology,Vitreous,3
Ophthalmology,Allergic Conjunctivitis,16
Ophthalmology,Conjunctiva - Introduction,4
Ophthalmology,Conjunctival Degenerations,19
Ophthalmology,Conjunctivitis,33
Ophthalmology,Blowout Fracture,3
Ophthalmology,Diseases of Orbit,7
Ophthalmology,Orbit - Anatomy,7
Ophthalmology,Orbital Cellulitis,6
Ophthalmology,Proptosis,12
Ophthalmology,Tumours,17
Ophthalmology,Acquired Cataract,4
Ophthalmology,Cataract,16
Ophthalmology,Other Cataract,8
Ophthalmology,Complications,4
Ophthalmology,Lens - Anatomy & Physiology,8
Ophthalmology,Lens Abnormalities,6
Ophthalmology,Treatment,9
Ophthalmology,Blunt Trauma,6
Ophthalmology,Acanthamoeba,5
Ophthalmology,Bacterial Corneal Ulcer,7
Ophthalmology,Cornea - Introduction,13
Ophthalmology,Corneal Dystrophies,11
Ophthalmology,Fungal Corneal Ulcer,6
Ophthalmology,Non Infective Keratitis,7
Ophthalmology,Viral Corneal Ulcer,8
Ophthalmology,Anterior Uveitis,13
Ophthalmology,Congenital Anomalies,5
Ophthalmology,Evisceration & Enucleation,2
Ophthalmology,Pars Planitis,3
Ophthalmology,Posterior Uveitis,2
Ophthalmology,Uveal Tract - Anatomy,5
Ophthalmology,Uveitis in Systemic Diseases,6
Ophthalmology,Development of Eye,3
Ophthalmology,Visual Acuity,13
Ophthalmology,Anatomy & Physiology,16
Ophthalmology,Community Ophthalmology,12
Ophthalmology,NPCB,14
Ophthalmology,Vision 2020,8
Ophthalmology,Ectropion & Entropion,16
Ophthalmology,Infections,25
Ophthalmology,Ptosis,14
Ophthalmology,Intraocular Tumors,7
Ophthalmology,Lacrimal Apparatus,38
Ophthalmology,Sclera,20
Ophthalmology,Acute Congestive Glaucoma,9
Ophthalmology,Anti Glaucoma Drugs,16
Ophthalmology,Congenital Glaucoma,9
Ophthalmology,Glaucoma - Introduction,5
Ophthalmology,IOP,12
Ophthalmology,Optic Disc Changes,5
Ophthalmology,PACG,6
Ophthalmology,POAG,7
Ophthalmology,Treatment of POAG,8
Ophthalmology,Secondary Developmental Glaucoma,7
Ophthalmology,Tonometry,9
Ophthalmology,Visual Field Defects,10
Ophthalmology,Angle Kappa,6
Ophthalmology,Astigmatism & Accommodation,13
Ophthalmology,Calculation of Refractive Error,6
Ophthalmology,High Myopia,5
Ophthalmology,Refractive Surgery (Part-1),11
Ophthalmology,Refractive Surgery (Part 2),15
Ophthalmology,Retinoscopy,15
Ophthalmology,Spherical Errors,8
Ophthalmology,Sturm’s Conoid,11
Ophthalmology,Anisocoria,4
Ophthalmology,Neuro Ophthalmology - Introduction,6
Ophthalmology,Neuro Ophthalmology - Miscellaneous,6
Ophthalmology,One & Half Syndrome,5
Ophthalmology,Optic Neuritis,9
Ophthalmology,Papilloedema & Optic Atrophy,2
Ophthalmology,Pupillary Reflexes,9
Ophthalmology,Visual Pathway & Junctional Scotoma,14
Pathology,NAFLD,2
Pathology,Liver Injury,2
Pathology,Alcoholic Liver Disease,4
Pathology,Autoimmune Cholangiopathies,5
Pathology,Hepatocellular Tumors & Carcinoma,6
